question_id,2625,728,271900,267000,271700,257400,262800,263900,255800,256000,256100
1,D,B,C,D,D,C,B,C,A,B,B
2,C,A,C,C,C,C,A,A,A,A,A
3,B,A,B,B,B,B,C,C,C,A,A
4,B,C,B,B,A,A,C,C,B,C,B
5,A,A,A,A,A,A,A,A,A,A,D
6,A,C,D,A,B,A,B,C,B,B,B
7,B,C,D,D,A,B,B,B,B,C,B
8,A,D,A,D,A,A,D,A,A,A,C
9,B,C,B,B,D,B,D,A,C,D,D
10,C,C,C,B,B,B,C,B,B,A,A
11,B,B,D,B,C,D,C,A,D,D,C
12,B,B,A,C,,C,B,D,B,B,A
13,C,D,D,A,,B,C,B,B,A,D
14,A,D,A,A,D,B,B,B,D,A,B
15,D,A,C,B,C,D,C,A,C,C,C
16,B,B,B,B,C,B,B,B,A,C,A
17,A,A,A,A,D,D,B,B,C,A,A
18,C,C,A,C,C,C,C,D,B,D,A
19,B,A,B,B,D,B,B,B,D,B,A
20,A,B,D,A,A,A,A,A,B,A,A
21,B,C,D,D,B,D,B,B,B,D,D
22,C,B,C,C,C,C,C,C,C,C,A
23,B,B,B,B,B,B,B,B,B,B,B
24,D,B,D,C,D,C,A,C,C,B,B
25,D,A,C,C,C,C,D,C,A,B,B
26,B,C,B,B,B,B,C,B,C,C,C
27,C,D,A,C,C,B,A,A,,C,C
28,A,B,A,A,A,A,A,A,A,D,D
29,B,A,D,C,D,D,D,D,C,C,D
30,C,C,C,C,C,D,B,C,D,D,D
31,D,A,D,D,D,D,D,D,C,D,C
32,C,C,C,C,D,C,C,B,C,A,A
33,C,D,A,C,D,C,C,C,D,D,D
34,D,B,B,B,B,B,B,B,B,A,B
35,A,C,A,A,A,A,A,A,C,C,D
36,D,,D,D,D,B,A,D,A,B,D
37,B,C,C,C,A,C,C,C,C,C,A
38,D,D,D,B,D,A,D,D,D,D,A
39,D,C,D,C,C,C,A,C,A,D,D
40,A,C,A,A,A,A,B,A,A,D,A
41,A,C,D,A,C,D,B,B,A,C,A
42,B,B,B,B,D,B,B,A,B,A,B
43,B,B,B,C,B,B,B,C,C,B,D
44,B,B,B,D,C,A,C,A,B,D,
45,C,D,C,C,B,C,C,B,B,D,C
