question_id,276400,275200,285800,285900
1,C,C,B,C
2,B,B,D,B
3,A,A,A,C
4,A,C,B,D
5,C,C,C,C
6,C,A,A,A
7,D,D,D,C
8,C,C,C,B
9,D,D,D,B
10,A,A,A,A
11,A,B,C,D
12,D,D,A,C
13,C,C,A,B
14,A,A,A,D
15,B,B,B,B
16,A,A,B,C
17,A,D,B,C
18,A,C,D,D
19,B,A,A,B
20,B,A,A,B
21,C,C,C,C
22,D,D,A,D
23,A,B,B,B
24,D,B,C,C
25,B,B,B,B
26,A,A,A,A
27,B,A,A,B
28,D,D,D,
29,A,A,D,D
30,B,A,C,D
31,C,C,C,C
32,D,D,D,C
33,C,C,C,C
34,D,B,B,B
35,B,B,C,B
36,D,D,D,D
37,A,A,A,C
38,C,A,C,C
39,A,B,B,B
40,C,B,C,C
41,B,B,A,A
42,C,B,A,D
43,A,B,A,A
44,D,D,B,B
45,C,C,C,C
