question_id,287200,279000,754000,276200
1,A,A,B,D
2,B,B,B,D
3,A,A,D,B
4,C,A,A,D
5,C,C,A,B
6,D,D,D,C
7,B,C,A,A
8,D,B,B,B
9,B,B,C,A
10,B,B,B,D
11,B,B,D,B
12,C,C,C,B
13,D,C,D,C
14,B,D,D,B
15,B,C,A,A
16,D,A,A,A
17,B,A,A,B
18,B,D,B,A
19,C,B,D,B
20,C,C,C,C
21,D,D,C,D
22,C,C,B,A
23,B,B,B,B
24,C,C,A,C
25,B,B,B,C
26,A,B,D,C
27,B,D,A,A
28,A,A,A,C
29,B,B,A,C
30,B,B,C,A
31,B,B,B,B
32,B,D,C,A
33,D,D,D,B
34,A,A,A,C
35,B,A,B,A
36,D,B,D,A
37,D,D,D,D
38,C,C,C,C
39,C,D,D,A
40,A,A,A,A
41,D,C,,C
42,C,C,C,C
43,B,D,C,B
44,D,C,C,D
45,A,A,A,D
46,C,C,D,D
47,A,A,A,A
48,C,C,C,A
49,C,B,B,D
50,B,B,B,B
