question_id,281600,283800,271200,269200,273000,268600,271800,900447,265100,286000,280400,413401,261900,272500,998586,30193,281800,316057
1,D,C,B,C,D,D,C,A,B,D,D,C,B,D,D,A,A,A
2,B,B,B,B,B,B,B,C,D,B,B,A,D,B,C,A,B,C
3,A,B,A,B,B,A,A,C,A,B,B,B,A,A,A,C,A,D
4,B,A,C,C,A,A,A,C,D,A,A,C,C,,A,B,D,C
5,A,A,C,A,A,D,A,D,A,A,C,A,A,A,,A,D,B
6,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,B
7,D,A,C,D,C,B,B,B,D,B,C,B,B,,,D,B,D
8,C,B,C,B,B,B,A,B,D,B,A,C,C,D,,B,A,C
9,B,D,C,C,,C,A,B,B,C,C,A,D,,,A,B,D
10,A,A,A,B,,B,A,B,C,D,B,A,B,,B,C,D,D
11,A,A,A,A,A,A,A,A,D,A,A,A,A,,,A,C,B
12,D,A,C,D,,C,C,C,D,A,A,A,C,A,,B,,A
13,A,A,A,A,A,A,B,C,D,B,A,C,B,A,A,A,A,A
14,A,D,D,B,,A,B,C,A,B,B,B,D,,A,B,,D
15,C,C,C,C,C,D,C,D,C,B,C,C,C,C,C,C,C,C
16,A,A,B,D,,C,B,D,B,B,A,D,A,,,D,B,C
17,C,D,C,B,B,A,B,C,B,C,B,B,B,,,D,,C
18,C,C,C,C,C,C,C,C,C,C,C,C,C,,C,B,C,B
19,C,C,C,C,C,C,C,C,C,B,D,C,D,C,C,A,C,B
20,B,A,B,B,B,D,A,B,B,A,D,A,B,C,A,C,A,D
21,B,B,B,B,D,B,B,A,A,C,B,A,C,B,B,A,B,D
22,D,D,D,D,C,D,B,D,A,D,A,D,A,,,B,C,C
23,B,A,B,A,C,B,B,B,D,B,C,B,C,,,B,B,A
24,D,B,A,,D,D,D,B,D,D,D,D,D,,,A,D,D
25,C,C,C,C,C,C,C,C,C,C,C,A,B,,,D,,B
26,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,D,D
27,B,D,C,B,D,B,B,D,D,A,A,D,A,B,B,A,C,A
28,D,A,D,C,D,A,B,A,B,B,A,D,D,A,A,B,A,D
29,D,D,B,D,D,A,D,D,D,D,D,D,D,D,D,D,D,A
30,D,D,D,D,D,D,D,D,D,D,A,D,B,D,A,D,B,B
