question_id,total_students,correct_count,accuracy_percentage
Q1,8,6,75.0
Q10,8,2,25.0
Q11,8,7,87.5
Q12,8,5,62.5
Q13,8,3,37.5
Q14,8,3,37.5
Q15,8,2,25.0
Q16,8,1,12.5
Q17,8,3,37.5
Q18,8,2,25.0
Q19,8,5,62.5
Q2,8,2,25.0
Q20,8,3,37.5
Q21,8,5,62.5
Q22,8,5,62.5
Q23,8,1,12.5
Q24,8,1,12.5
Q25,8,6,75.0
Q26,8,5,62.5
Q27,8,3,37.5
Q28,8,7,87.5
Q29,8,4,50.0
Q3,8,0,0.0
Q30,8,3,37.5
Q31,8,6,75.0
Q32,8,5,62.5
Q33,8,4,50.0
Q34,8,6,75.0
Q35,8,4,50.0
Q36,8,7,87.5
Q37,8,1,12.5
Q38,8,0,0.0
Q39,8,2,25.0
Q4,8,2,25.0
Q40,8,6,75.0
Q41,8,2,25.0
Q42,8,4,50.0
Q43,8,4,50.0
Q44,8,8,100.0
Q45,8,6,75.0
Q5,8,3,37.5
Q6,8,5,62.5
Q7,8,1,12.5
Q8,8,4,50.0
Q9,8,5,62.5
